mfg_products_ID,Mockup_ID,Created_at,Updated_at,Packaging_ID,Product_ID,Sock_pair_ID,Created_on,Mockup_version,Quantity,Product_info_ID
36766,,2023-01-03 17:47:39.762000+00:00,2023-01-03 17:47:40.214000+00:00,22747,,,2023-01-03,,60,35
36758,,2023-01-03 16:12:13.194000+00:00,2023-01-03 16:12:13.194000+00:00,,,,2023-01-03,,360,
36767,133675,2023-01-03 17:47:39.765000+00:00,2023-01-03 17:47:40.323000+00:00,,,,2023-01-03,1,60,2
36814,,2023-01-03 23:34:47.560000+00:00,2023-01-05 23:49:51.902000+00:00,,,,2023-01-03,,90,
36813,133380,2023-01-03 23:34:47.556000+00:00,2023-01-05 23:49:51.738000+00:00,,,,2023-01-03,3,90,2
36810,,2023-01-03 23:00:36.616000+00:00,2023-01-04 19:50:15.467000+00:00,,,,2023-01-03,,80,
36757,134121,2023-01-03 16:12:13.188000+00:00,2023-01-03 16:12:13.460000+00:00,,,,2023-01-03,2,360,2
36759,131317,2023-01-03 16:53:12.423000+00:00,2023-01-03 16:53:12.727000+00:00,,,,2023-01-03,2,100,7
36760,131317,2023-01-03 16:53:12.525000+00:00,2023-01-03 16:53:12.884000+00:00,,,,2023-01-03,2,150,7
36756,,2023-01-03 15:58:52.386000+00:00,2023-01-03 16:53:42.508000+00:00,70821,,,2023-01-03,,240,35
36768,,2023-01-03 17:47:39.768000+00:00,2023-01-03 17:47:40.399000+00:00,22747,,,2023-01-03,,60,35
36761,78346,2023-01-03 17:18:51.574000+00:00,2023-01-03 17:18:51.910000+00:00,,,,2023-01-03,1,120,2
36762,,2023-01-03 17:18:51.578000+00:00,2023-01-03 17:18:51.998000+00:00,44036,,,2023-01-03,,120,35
36787,108853,2023-01-03 20:26:06.329000+00:00,2023-01-03 20:26:06.576000+00:00,,,,2023-01-03,1,151,2
36788,,2023-01-03 20:26:06.332000+00:00,2023-01-03 20:26:06.630000+00:00,58520,,,2023-01-03,,151,35
