revisions_ID,Mockup_ID,Version_number,Completed_at,Created_at,Updated_at,Packaging_ID,Product_ID,Sock_pair_ID,Base_version,Read_at
31769,,,2023-08-10 19:30:09.359000+00:00,2023-08-10 19:22:18.304000+00:00,2023-08-10 19:30:09.360000+00:00,91314,,,,
31783,180065,1,2023-08-11 18:06:47.630000+00:00,2023-08-10 22:50:05.680000+00:00,2023-08-11 18:06:47.630000+00:00,,,,1,
31755,178906,3,2023-08-10 16:12:36.974000+00:00,2023-08-10 16:10:24.440000+00:00,2023-08-10 16:31:25.295000+00:00,,,,3,2023-08-10 16:31:25.295000+00:00
31748,179764,2,2023-08-10 16:35:39.173000+00:00,2023-08-10 15:18:08.487000+00:00,2023-08-10 16:35:39.174000+00:00,,,,2,
31753,179903,1,2023-08-10 15:58:42.457000+00:00,2023-08-10 15:46:35.925000+00:00,2023-08-10 16:51:30.077000+00:00,,,,1,2023-08-10 16:51:30.077000+00:00
31779,180084,1,2023-08-10 21:39:17.535000+00:00,2023-08-10 21:18:21.981000+00:00,2023-08-10 21:39:17.535000+00:00,,,,1,
31762,179916,1,,2023-08-10 17:12:22.032000+00:00,2023-08-10 17:26:17.043000+00:00,,,,1,
31774,111425,2,2023-08-10 20:43:56.506000+00:00,2023-08-10 20:40:50.576000+00:00,2024-03-22 16:38:59.923000+00:00,,,,2,2024-03-22 16:38:59.923000+00:00
31761,179917,1,,2023-08-10 17:11:32.995000+00:00,2023-08-10 17:26:33.999000+00:00,,,,1,
31770,179511,1,,2023-08-10 19:58:38.296000+00:00,2023-10-16 13:33:16.983000+00:00,,,,1,2023-10-16 13:33:16.983000+00:00
31785,,,2023-08-11 19:21:19.244000+00:00,2023-08-10 23:07:08.096000+00:00,2023-08-11 19:25:28.996000+00:00,61024,,,,2023-08-11 19:25:28.996000+00:00
31773,179594,1,2023-08-10 20:42:20.924000+00:00,2023-08-10 20:35:47.750000+00:00,2024-01-25 22:12:13.961000+00:00,,,,1,2024-01-25 22:12:13.961000+00:00
31750,168775,1,2023-08-14 18:04:24.404000+00:00,2023-08-10 15:24:07.361000+00:00,2023-08-14 18:04:24.404000+00:00,,,,1,
31765,135219,1,2023-08-10 20:34:31.540000+00:00,2023-08-10 18:12:28.557000+00:00,2023-08-10 20:47:12.417000+00:00,,,,1,2023-08-10 20:47:12.417000+00:00
31777,135219,2,2023-08-10 20:48:50.474000+00:00,2023-08-10 20:47:31.118000+00:00,2023-08-10 20:48:50.474000+00:00,,,,2,
31778,,,2023-08-10 23:00:24.610000+00:00,2023-08-10 20:48:54.718000+00:00,2023-08-10 23:00:24.610000+00:00,,,3117,,
31771,180049,1,2023-08-11 18:31:29.649000+00:00,2023-08-10 20:08:21.297000+00:00,2023-08-11 22:01:22.260000+00:00,,,,1,2023-08-11 22:01:22.260000+00:00
31757,,,2023-08-11 18:02:39.013000+00:00,2023-08-10 16:31:16.250000+00:00,2023-08-11 18:02:39.013000+00:00,91408,,,,
31743,178547,1,2023-08-11 19:35:11.442000+00:00,2023-08-10 13:58:44.866000+00:00,2023-08-11 19:35:11.442000+00:00,,,,1,
31746,179421,1,2023-08-14 20:46:49.712000+00:00,2023-08-10 14:43:14.901000+00:00,2023-08-14 21:07:18.110000+00:00,,,,1,2023-08-14 21:07:18.110000+00:00
31782,166364,5,2023-08-10 22:42:09.860000+00:00,2023-08-10 22:25:25.990000+00:00,2023-08-16 18:23:44.786000+00:00,,,,5,2023-08-16 18:23:44.786000+00:00
31775,178740,1,2023-08-11 18:38:31.385000+00:00,2023-08-10 20:43:03.651000+00:00,2023-08-11 18:38:31.385000+00:00,,,,1,
31741,178543,1,2023-08-11 19:34:44.316000+00:00,2023-08-10 08:34:47.682000+00:00,2023-08-11 19:34:44.316000+00:00,,,,1,
31803,,,,2023-08-11 15:46:25.789000+00:00,2023-08-11 15:52:34.401000+00:00,64006,,,,
31808,178717,1,2023-08-11 21:13:54.336000+00:00,2023-08-11 17:04:55.569000+00:00,2023-08-11 21:14:03.651000+00:00,,,,1,
31804,178432,4,2023-08-11 22:54:22.033000+00:00,2023-08-11 16:20:31.460000+00:00,2023-08-14 14:24:56.358000+00:00,,,,4,2023-08-14 14:24:56.358000+00:00
31842,180229,2,2023-08-14 16:59:51.986000+00:00,2023-08-11 23:03:41.154000+00:00,2023-08-14 22:53:24.583000+00:00,,,,2,2023-08-14 22:53:24.583000+00:00
31800,,,,2023-08-11 15:04:22.949000+00:00,2023-08-11 19:11:15.010000+00:00,91090,,,,
31798,179852,1,,2023-08-11 14:34:48.017000+00:00,2023-09-19 18:23:16.952000+00:00,,,,1,2023-09-19 18:23:16.952000+00:00
31796,179802,1,2023-09-28 21:37:30.320000+00:00,2023-08-11 14:32:59.749000+00:00,2023-09-28 21:37:30.320000+00:00,,,,1,2023-08-14 19:34:12.677000+00:00
