ID,Mockup ID,Version number,Completed at,Created at,Updated at,Packaging ID,Product ID,Sock pair ID,Base version,Read at
21945,,,,2023-01-05T22:04:22.124Z,2023-01-06T22:39:34.121Z,,,2419.0,,
21881,133046.0,2.0,,2023-01-05T00:06:20.093Z,2023-01-05T17:56:35.490Z,,,,2.0,
21883,134737.0,1.0,2023-01-05T16:34:59.782Z,2023-01-05T01:12:57.204Z,2023-01-05T16:34:59.782Z,,,,1.0,
21885,134529.0,1.0,,2023-01-05T14:27:53.034Z,2023-01-06T20:56:32.624Z,,,,1.0,
21887,134602.0,1.0,2023-01-05T15:49:44.100Z,2023-01-05T15:29:29.054Z,2023-01-05T15:49:44.101Z,,,,1.0,
21888,134602.0,1.0,2023-01-05T15:49:46.742Z,2023-01-05T15:29:42.001Z,2023-01-05T15:49:46.742Z,,,,1.0,
21896,,,2023-01-05T20:24:31.060Z,2023-01-05T17:36:57.892Z,2023-01-05T20:24:31.060Z,59611.0,,,,
21886,,,,2023-01-05T15:10:21.740Z,2023-01-05T21:11:46.364Z,,,2415.0,,
21884,132808.0,1.0,2023-01-05T16:43:39.027Z,2023-01-05T04:00:53.179Z,2023-01-05T16:43:39.028Z,,,,1.0,
21882,134742.0,1.0,2023-01-05T16:19:05.748Z,2023-01-05T00:48:40.548Z,2023-01-05T16:19:05.748Z,,,,1.0,
21893,134780.0,1.0,2023-01-05T17:53:38.545Z,2023-01-05T17:22:32.822Z,2023-01-05T17:53:38.545Z,,,,1.0,
21889,133046.0,2.0,,2023-01-05T15:44:02.311Z,2023-01-05T17:56:37.890Z,,,,2.0,
21890,133952.0,1.0,2023-01-05T18:23:40.296Z,2023-01-05T16:02:52.408Z,2023-01-05T18:23:40.296Z,,,,1.0,
21891,133993.0,4.0,2023-01-05T19:56:46.891Z,2023-01-05T16:31:52.562Z,2023-01-05T19:56:46.891Z,,,,4.0,
21895,126247.0,1.0,,2023-01-05T17:26:02.501Z,2023-01-05T21:19:54.997Z,,,,1.0,
21898,134707.0,1.0,2023-01-05T18:02:09.353Z,2023-01-05T17:53:17.120Z,2023-01-05T18:02:09.353Z,,,,1.0,
21899,134777.0,1.0,2023-01-05T18:07:20.440Z,2023-01-05T18:00:27.880Z,2023-01-05T18:08:29.712Z,,,,1.0,
21892,,,2023-01-05T18:28:02.274Z,2023-01-05T17:16:41.905Z,2023-01-05T18:28:02.275Z,70080.0,,,,
21903,133978.0,3.0,2023-01-05T18:44:04.663Z,2023-01-05T18:11:38.381Z,2023-01-05T18:44:04.663Z,,,,3.0,
21904,134757.0,1.0,,2023-01-05T18:12:07.617Z,2023-01-05T18:49:20.927Z,,,,1.0,
21917,134708.0,1.0,2023-01-05T19:53:44.134Z,2023-01-05T19:27:03.680Z,2023-01-05T19:53:44.134Z,,,,1.0,
21915,134538.0,1.0,2023-01-05T20:08:14.941Z,2023-01-05T19:06:25.704Z,2023-01-05T20:08:14.941Z,,,,1.0,
21902,117324.0,1.0,2023-01-05T20:53:02.247Z,2023-01-05T18:08:53.727Z,2023-01-05T20:53:02.247Z,,,,1.0,
21913,117324.0,1.0,2023-01-05T20:53:03.441Z,2023-01-05T18:34:24.704Z,2023-01-05T20:53:21.125Z,,,,1.0,
21908,134494.0,2.0,2023-01-05T20:58:52.731Z,2023-01-05T18:23:13.994Z,2023-01-05T20:58:52.731Z,,,,2.0,
21907,,,,2023-01-05T18:17:29.819Z,2023-01-05T21:16:42.712Z,68067.0,,,,
21914,118986.0,2.0,2023-01-06T17:11:37.823Z,2023-01-05T18:56:05.969Z,2023-01-06T17:11:37.823Z,,,,2.0,
21894,134605.0,1.0,,2023-01-05T17:25:20.953Z,2023-01-06T18:11:10.035Z,,,,1.0,
21910,134730.0,1.0,,2023-01-05T18:29:37.200Z,2023-01-06T18:16:24.451Z,,,,1.0,
21906,133831.0,1.0,2023-01-06T19:19:15.265Z,2023-01-05T18:14:29.708Z,2023-01-06T19:19:15.266Z,,,,1.0,
21905,133835.0,1.0,2023-01-06T19:34:20.709Z,2023-01-05T18:13:57.392Z,2023-01-06T19:34:20.709Z,,,,1.0,
21901,134785.0,1.0,2023-01-06T20:38:56.904Z,2023-01-05T18:02:52.763Z,2023-01-06T20:38:56.905Z,,,,1.0,
21900,134785.0,1.0,2023-01-06T20:38:58.591Z,2023-01-05T18:02:35.078Z,2023-01-06T20:38:58.591Z,,,,1.0,
21912,134649.0,1.0,,2023-01-05T18:33:40.502Z,2023-01-06T21:41:40.357Z,,,,1.0,
21911,134646.0,1.0,,2023-01-05T18:31:30.413Z,2023-01-06T21:42:03.163Z,,,,1.0,
21921,134708.0,2.0,2023-01-05T20:16:07.788Z,2023-01-05T20:07:03.365Z,2023-01-05T20:16:07.789Z,,,,2.0,
21927,,,2023-01-05T20:24:23.857Z,2023-01-05T20:22:41.985Z,2023-01-05T20:24:23.857Z,59611.0,,,,
21920,134833.0,1.0,2023-01-05T20:30:51.805Z,2023-01-05T19:55:59.083Z,2023-01-05T20:30:51.805Z,,,,1.0,
